               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.038592,            0.015808,           0.0099376,             0.67862,             0.76347,             0.70263,              0.3518,            0.029887,           0.0068588,            0.015554,              0.0946,              0.0006,              0.0006
                   1,            0.033946,            0.015093,             0.01643,              0.7641,             0.76727,             0.75839,             0.37977,            0.028824,           0.0063755,            0.013712,            0.088294,           0.0012936,           0.0012936
                   2,            0.037946,            0.016037,            0.010795,             0.78122,             0.79365,             0.78091,              0.3775,            0.029376,           0.0060849,            0.012816,             0.08198,           0.0019802,           0.0019802
                   3,            0.034867,            0.016188,           0.0065971,             0.70995,             0.76587,             0.72288,             0.33831,             0.02909,           0.0060565,            0.013235,             0.07566,           0.0026599,           0.0026599
                   4,            0.040068,            0.017349,           0.0091374,             0.69202,             0.71134,             0.73538,             0.36945,            0.027238,           0.0066669,            0.014087,            0.069333,           0.0033327,           0.0033327
                   5,            0.037275,            0.016092,           0.0039878,             0.72855,             0.69143,             0.67279,             0.32528,            0.027961,           0.0062856,            0.013038,            0.062999,           0.0039985,           0.0039985
                   6,            0.040091,            0.015403,           0.0083205,             0.72625,             0.85362,             0.81919,             0.34839,             0.02593,            0.006798,            0.011379,            0.056657,           0.0046574,           0.0046574
                   7,            0.037823,            0.015155,           0.0072708,             0.75427,             0.71507,             0.77164,             0.36817,            0.029517,           0.0062676,            0.011893,            0.050309,           0.0053094,           0.0053094
                   8,            0.040886,            0.014168,           0.0043035,             0.56808,              0.6627,             0.63907,             0.36134,            0.031379,           0.0058529,            0.014115,            0.043954,           0.0059545,           0.0059545
                   9,            0.041426,            0.015702,           0.0068741,             0.59689,             0.69048,             0.56092,             0.32331,            0.031561,           0.0059982,            0.014108,            0.037593,           0.0065926,           0.0065926
                  10,            0.038609,             0.01539,           0.0064257,             0.66624,             0.76333,             0.67537,             0.38779,            0.030365,           0.0063214,             0.01446,            0.031224,           0.0072238,           0.0072238
                  11,            0.041579,            0.014548,           0.0057925,             0.61322,             0.52801,             0.57385,             0.22966,            0.035439,           0.0060434,            0.016002,            0.024848,           0.0078481,           0.0078481
                  12,            0.045735,            0.017499,            0.006638,              0.6021,             0.63492,             0.61377,             0.33552,            0.030981,           0.0062071,            0.017176,            0.018465,           0.0084654,           0.0084654
                  13,            0.041367,            0.017949,           0.0068044,              0.6397,             0.56144,              0.6235,             0.25364,            0.030348,           0.0061531,             0.01717,            0.012076,           0.0090758,           0.0090758
                  14,            0.039457,            0.015889,           0.0057137,             0.70445,             0.64976,             0.66837,             0.27398,            0.031022,           0.0060853,            0.018077,            0.009307,            0.009307,            0.009307
                  15,            0.043431,            0.016242,           0.0047227,              0.8148,             0.70635,             0.73183,              0.3439,            0.030928,           0.0060793,            0.018669,            0.009307,            0.009307,            0.009307
                  16,            0.043626,            0.015893,           0.0053202,             0.74844,             0.65873,             0.67054,             0.32124,            0.027391,           0.0058157,            0.018984,           0.0092575,           0.0092575,           0.0092575
                  17,             0.04447,            0.015087,           0.0054099,             0.71514,              0.6627,             0.63328,             0.31062,            0.027885,            0.006251,            0.019152,            0.009208,            0.009208,            0.009208
                  18,            0.039554,            0.016163,           0.0059989,             0.65056,             0.74945,             0.68679,             0.31874,            0.026619,           0.0060214,            0.018371,           0.0091585,           0.0091585,           0.0091585
                  19,            0.046222,            0.016229,           0.0041946,             0.74915,             0.66244,             0.67156,             0.31817,            0.028031,           0.0060392,            0.016549,            0.009109,            0.009109,            0.009109
                  20,            0.040653,             0.01402,           0.0052497,             0.75904,             0.68651,             0.67786,             0.33733,            0.031709,           0.0062352,            0.016388,           0.0090595,           0.0090595,           0.0090595
                  21,            0.046887,            0.014648,           0.0051375,             0.50745,             0.66667,              0.5695,              0.2568,            0.036114,           0.0060771,            0.017539,             0.00901,             0.00901,             0.00901
                  22,            0.042979,            0.014757,           0.0064559,             0.65472,             0.56746,             0.56351,             0.26019,            0.030747,           0.0063094,            0.017626,           0.0089605,           0.0089605,           0.0089605
                  23,            0.042215,            0.016359,           0.0049078,             0.74249,             0.61111,             0.66105,             0.29449,            0.029657,           0.0059785,            0.017583,            0.008911,            0.008911,            0.008911
                  24,            0.043393,            0.015798,           0.0041945,             0.74747,             0.66054,             0.66189,             0.31278,            0.026702,           0.0056772,            0.017664,           0.0088615,           0.0088615,           0.0088615
                  25,            0.039835,            0.013737,           0.0058208,             0.73799,             0.58078,              0.6503,             0.35494,            0.029159,           0.0061324,            0.019641,            0.008812,            0.008812,            0.008812
                  26,            0.041094,            0.013815,            0.003374,             0.55953,             0.71429,             0.65424,             0.33168,             0.03076,            0.006546,            0.019974,           0.0087625,           0.0087625,           0.0087625
                  27,            0.039584,            0.014562,           0.0053825,             0.68719,             0.57592,                0.64,             0.30368,             0.03079,           0.0065928,            0.020224,            0.008713,            0.008713,            0.008713
                  28,            0.038908,             0.01505,            0.006589,             0.66003,             0.61905,             0.68009,             0.33782,            0.034426,           0.0064168,            0.019552,           0.0086635,           0.0086635,           0.0086635
                  29,            0.036182,            0.013633,           0.0072973,              0.8189,              0.6903,             0.76636,             0.37207,            0.028553,           0.0069091,            0.016779,            0.008614,            0.008614,            0.008614
                  30,            0.041291,            0.013861,           0.0055217,             0.82607,             0.50054,             0.67583,             0.29291,            0.034328,           0.0074022,            0.017644,           0.0085645,           0.0085645,           0.0085645
                  31,            0.040839,            0.014159,           0.0053528,             0.68484,             0.67063,             0.67732,             0.30977,            0.034678,           0.0071094,            0.017165,            0.008515,            0.008515,            0.008515
                  32,            0.038136,            0.014147,           0.0043568,             0.73906,             0.69444,             0.69574,             0.32393,            0.026256,           0.0071336,            0.017365,           0.0084655,           0.0084655,           0.0084655
                  33,            0.039323,              0.0158,           0.0047884,              0.6422,             0.62859,             0.69144,             0.30923,            0.031128,           0.0078309,            0.017736,            0.008416,            0.008416,            0.008416
                  34,            0.038362,            0.015275,           0.0050247,             0.61339,             0.64893,             0.59461,             0.27327,            0.032306,           0.0066823,            0.019415,           0.0083665,           0.0083665,           0.0083665
                  35,            0.037986,            0.014291,           0.0040083,             0.60839,             0.65541,             0.67279,              0.3178,            0.031508,           0.0061989,            0.019756,            0.008317,            0.008317,            0.008317
                  36,            0.037614,            0.015851,            0.006603,             0.69091,             0.61078,             0.66469,              0.3422,            0.031122,           0.0065272,            0.020591,           0.0082675,           0.0082675,           0.0082675
                  37,            0.036622,            0.014271,           0.0053256,             0.83754,              0.6109,             0.68055,             0.34902,            0.029532,           0.0065153,            0.019735,            0.008218,            0.008218,            0.008218
