               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12761,            0.034045,                   0,           0.0016667,            0.076923,           0.0010061,          0.00010061,             0.08138,            0.028044,                   0,              0.0991,              0.0001,              0.0001
                   1,            0.080882,            0.031089,                   0,           0.0016667,            0.076923,           0.0010233,          0.00010233,            0.080561,            0.027742,                   0,            0.097201,            0.000201,            0.000201
                   2,             0.12194,            0.031509,                   0,           0.0033333,             0.23077,           0.0020654,          0.00045643,            0.080037,            0.027456,                   0,             0.09517,             0.00017,             0.00017
