               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12761,            0.034045,                   0,           0.0016667,            0.076923,           0.0010061,          0.00010061,             0.08138,            0.028044,                   0,              0.0991,              0.0001,              0.0001
                   1,            0.080749,            0.031119,                   0,           0.0016667,            0.076923,           0.0010432,          0.00010432,            0.080284,            0.027788,                   0,            0.097297,          0.00029703,          0.00029703
                   2,              0.1207,            0.031496,                   0,           0.0033333,             0.23077,           0.0020887,          0.00039932,            0.079005,            0.027538,                   0,             0.09549,           0.0004901,           0.0004901
                   3,             0.12517,            0.034063,                   0,           0.0033333,             0.23077,           0.0027845,          0.00041011,            0.076405,            0.027153,                   0,            0.093679,          0.00067921,          0.00067921
                   4,            0.074179,            0.032339,                   0,           0.0022222,             0.15385,           0.0022136,          0.00035441,            0.072426,            0.026694,                   0,            0.091864,          0.00086436,          0.00086436
                   5,            0.094284,            0.032686,                   0,           0.0033333,             0.23077,            0.002856,          0.00064103,            0.068978,            0.026291,                   0,            0.090046,           0.0010455,           0.0010455
                   6,            0.092981,            0.035406,                   0,           0.0044444,             0.30769,            0.003616,          0.00065481,            0.064909,            0.025865,                   0,            0.088223,           0.0012228,           0.0012228
                   7,             0.10989,            0.035022,                   0,               0.005,             0.46154,           0.0057345,            0.001149,            0.061051,            0.025459,                   0,            0.086396,            0.001396,            0.001396
                   8,             0.11391,            0.031864,                   0,               0.005,             0.46154,           0.0057061,           0.0013462,            0.059354,            0.025254,                   0,            0.084565,           0.0015654,           0.0015654
                   9,            0.086767,            0.029708,                   0,           0.0046667,             0.53846,           0.0073147,           0.0016337,            0.057515,             0.02508,                   0,            0.082731,           0.0017307,           0.0017307
                  10,            0.083751,            0.035655,                   0,           0.0053333,             0.61538,           0.0093433,           0.0020958,            0.055877,            0.024716,                   0,            0.080892,           0.0018921,           0.0018921
                  11,             0.10244,            0.032267,                   0,           0.0046667,             0.53846,           0.0063565,           0.0017498,            0.055191,            0.024474,                   0,             0.07905,           0.0020495,           0.0020495
                  12,            0.098619,            0.033591,                   0,               0.005,             0.69231,            0.017371,           0.0050081,            0.052652,            0.024428,                   0,            0.077203,            0.002203,            0.002203
                  13,            0.067502,            0.030305,                   0,               0.005,             0.69231,            0.023655,           0.0062264,            0.053291,            0.024209,                   0,            0.075353,           0.0023525,           0.0023525
                  14,            0.075275,            0.031162,                   0,           0.0055556,             0.76923,             0.05576,            0.014914,            0.052003,            0.023965,                   0,            0.073498,           0.0024981,           0.0024981
                  15,             0.08691,            0.033228,                   0,           0.0055556,             0.76923,             0.11512,            0.036981,            0.050779,            0.023731,                   0,             0.07164,           0.0026396,           0.0026396
                  16,            0.075037,            0.032977,                   0,           0.0061111,             0.84615,            0.095868,            0.028416,            0.050434,            0.023372,                   0,            0.069777,           0.0027773,           0.0027773
                  17,             0.09122,            0.029758,                   0,           0.0055556,             0.76923,              0.1212,            0.035451,            0.049469,             0.02289,                   0,            0.067911,           0.0029109,           0.0029109
                  18,            0.090873,              0.0301,                   0,            0.086324,             0.69231,             0.20315,            0.064144,            0.049798,             0.02228,                   0,            0.066041,           0.0030407,           0.0030407
                  19,            0.059791,            0.029036,                   0,             0.42803,             0.12063,             0.31276,             0.10649,            0.048037,            0.021843,                   0,            0.064166,           0.0031664,           0.0031664
                  20,             0.07074,            0.028501,                   0,             0.34409,             0.24318,             0.28738,             0.13229,            0.046362,            0.021533,                   0,            0.062288,           0.0032882,           0.0032882
                  21,            0.065715,            0.031865,                   0,             0.29821,             0.19835,              0.2766,              0.1273,            0.044399,            0.021527,                   0,            0.060406,            0.003406,            0.003406
                  22,            0.056495,            0.029603,                   0,             0.26773,             0.23077,             0.30802,             0.13559,            0.042304,            0.020856,                   0,             0.05852,           0.0035199,           0.0035199
