               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1147,             0.03309,                   0,           0.0011111,                0.05,          0.00059088,          5.9088e-05,            0.080585,            0.026658,                   0,              0.0973,              0.0003,              0.0003
                   1,             0.12044,            0.034609,                   0,          0.00083333,                0.05,          0.00049054,          4.9054e-05,            0.076149,            0.025629,                   0,            0.093693,          0.00069307,          0.00069307
                   2,             0.11508,            0.032303,                   0,          0.00083333,                0.05,          0.00054563,          0.00010913,            0.068077,            0.024732,                   0,            0.090078,           0.0010782,           0.0010782
                   3,             0.10532,            0.032026,                   0,           0.0016667,                0.15,           0.0024125,          0.00045014,            0.060224,            0.023981,                   0,            0.086455,           0.0014555,           0.0014555
                   4,             0.10296,            0.029596,                   0,           0.0014286,                0.15,           0.0055316,          0.00095102,            0.057709,            0.023199,                   0,            0.082825,           0.0018248,           0.0018248
                   5,            0.094153,            0.033054,                   0,           0.0020833,                0.25,            0.010932,           0.0025195,            0.054505,             0.02231,                   0,            0.079186,           0.0021861,           0.0021861
                   6,            0.087745,            0.030481,                   0,           0.0033333,                 0.5,            0.038017,              0.0102,            0.050829,            0.021392,                   0,             0.07554,           0.0025396,           0.0025396
                   7,            0.086061,            0.030572,                   0,            0.015721,                0.75,              0.2287,             0.07914,            0.047245,            0.020455,                   0,            0.071885,           0.0028852,           0.0028852
                   8,             0.07537,            0.031934,                   0,             0.30004,                 0.3,             0.31436,             0.14262,            0.044726,            0.019149,                   0,            0.068223,           0.0032228,           0.0032228
                   9,            0.073565,            0.030203,                   0,             0.39759,                 0.4,             0.29165,             0.12124,            0.043878,            0.017659,                   0,            0.064553,           0.0035525,           0.0035525
                  10,            0.068949,            0.030223,                   0,             0.53144,                0.35,             0.42865,             0.19298,            0.042675,            0.017507,                   0,            0.060874,           0.0038743,           0.0038743
                  11,            0.062534,            0.026948,                   0,             0.66402,                0.35,             0.44836,             0.19332,            0.043628,            0.016517,                   0,            0.057188,           0.0041882,           0.0041882
                  12,            0.073377,            0.024698,                   0,             0.74541,                0.35,             0.41568,             0.13013,            0.048066,            0.016601,                   0,            0.053494,           0.0044941,           0.0044941
                  13,            0.064858,            0.024367,                   0,             0.55469,                 0.2,             0.27814,             0.10519,            0.048554,            0.016132,                   0,            0.049792,           0.0047922,           0.0047922
                  14,            0.062278,            0.023515,                   0,             0.44035,                0.25,             0.33113,             0.14276,            0.051653,            0.014946,                   0,            0.046082,           0.0050823,           0.0050823
                  15,            0.068662,             0.02306,                   0,             0.66702,                0.25,             0.34218,            0.093617,            0.050323,            0.013706,                   0,            0.042364,           0.0053644,           0.0053644
                  16,             0.06168,            0.022663,                   0,             0.56348,                 0.3,             0.43451,             0.17893,            0.051853,            0.012818,                   0,            0.038639,           0.0056387,           0.0056387
                  17,            0.062732,             0.02273,                   0,             0.74436,                0.35,             0.35447,             0.13261,            0.048249,            0.011935,                   0,            0.034905,           0.0059051,           0.0059051
